Mini Fabrica,Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Deve (Abast),Saldo em Casa,Origem do Saldo
Mini Fabrica - 6,56577,FORRO MILANO PU 0.7(B O/I 2014),,35312,BRANCO OFF 526,,-7.896,0.00000,nacional
Mini Fabrica - 6,67345,NAPA TURIM PU 1.0 + SARJA 7030/40 0.40,,101602,CHOCOLATE 1271/PRETO 01,,-0.724,0.00000,nacional
Mini Fabrica - 6,73034,NAPA TURIM PU 1.0 (B P/V 15/16)+BASE FLEX 1.0,,101646,CHOCOLATE 1271/PRETO,,-0.602,0.00000,nacional
Mini Fabrica - 6,73824,SARJA 220 GR 100% ALGODAO+ FILME 50 MICRAS,,15745,PRETO 01,,-0.085,0.00000,nacional
Mini Fabrica - 6,73824,SARJA 220 GR 100% ALGODAO+ FILME 50 MICRAS,,17228,CRU 20,,-0.028,0.00000,nacional
Mini Fabrica - 6,128938,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21),,95373,CAMEL 1165,,-5.0,0.00000,nacional
Mini Fabrica - 6,128939,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40,,104066,AZUL SKY 1395/CRU 20,,-0.415,0.00000,nacional
Mini Fabrica - 6,145635,NAPA FLOATHER NATURE PU 1.0+VELVET+FORRO SOFT CONFORTO PU 0.7,,101182,VERDE 1270/CREME 516/BEGE 435,,-0.07,0.00000,nacional
Mini Fabrica - 6,149602,CAMURCA STRECH DUO + VELVET (MD O/I /23),,15787,PRETO 01/PRETO,,-4.038,0.00000,nacional
Mini Fabrica - 6,187451,NYLON KANSAS(ACT O/I22)+ESPUMA D501 3MM+CACHAREL 120GR,,106860,AVELA 1248/BRANCO 15/CREME 516,,-16.76,0.00000,nacional
Mini Fabrica - 6,192842,BRILHO ITALIA PU 0.9 (P/V 25/26)+BASE FLEX,,34788,DOURADO/BISCOITO,,-1.628,0.00000,nacional
Mini Fabrica - 6,195876,NAPA TRESSE BERLIM PU 1.2 (MD O/I 26),,100196,AVELA 1248,,-4.0,0.00000,nacional
Mini Fabrica - 6,202378,"NAPA ESSELENCE PU 0.9+SARJA 7030+SPO40G+ESP.PU2,5 D30+CACHAREL CONFORT",,16143,PRETO 01/PRETO 01/PRETO 01,,-2.5,0.00000,nacional
Mini Fabrica - 6,202643,NAPA SOFT MADRI PU 1.0 (V O/I 23/24)+BASE FLEX,,37331,BRANCO OFF 526/BISCOITO,,-1.362,0.00000,nacional
Mini Fabrica - 9,48926,CAMURCA FLEX 0.30+BASE FLEX 1.0 (P/V 12/13),,96142,CAMEL 1165/BISCOITO,,-0.759,0.00000,nacional
Mini Fabrica - 9,56427,PELICA PU 1.0 (V O/I 2014),,35312,BRANCO OFF 526,,-32.424,0.00000,nacional
Mini Fabrica - 9,56427,PELICA PU 1.0 (V O/I 2014),,95373,CAMEL 1165,,-0.178,0.00000,nacional
Mini Fabrica - 9,56427,PELICA PU 1.0 (V O/I 2014),,104068,MOCCA 1398,,-1.63,0.00000,nacional
Mini Fabrica - 9,60121,CAMURCA FLEX 0.30+FLANELA 475/11 0.40,,95810,CAMEL 1165/CRU 20,,-0.293,0.00000,nacional
Mini Fabrica - 9,67345,NAPA TURIM PU 1.0 + SARJA 7030/40 0.40,,101602,CHOCOLATE 1271/PRETO 01,,-35.307,0.00000,nacional
Mini Fabrica - 9,67345,NAPA TURIM PU 1.0 + SARJA 7030/40 0.40,,101992,VERDE LUNA 1256/CRU 20,,-8.573,0.00000,nacional
Mini Fabrica - 9,73034,NAPA TURIM PU 1.0 (B P/V 15/16)+BASE FLEX 1.0,,107768,TERRACOTA 1477/BISCOITO,,-0.706,0.00000,nacional
Mini Fabrica - 9,84549,VERNIZ PREMIUM PU 1.0 (M/MD O/I 2017),,101321,CHOCOLATE 1271,,-5.246,0.00000,nacional
Mini Fabrica - 9,112853,"FORRO SOFT CONFORTO PU 0.7(MD P/V 18/19)+ESPUMA PU 6,5MM D.60+SPONLACE 30GR",,29497,BEGE 435/BRANCO 15,,-41.478,0.00000,nacional
Mini Fabrica - 9,128939,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40,,18215,BRANCO 99/CRU 20,,-1.263,0.00000,nacional
Mini Fabrica - 9,128939,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40,,73437,CAFE 856/PRETO 01,,-1.027,0.00000,nacional
Mini Fabrica - 9,138672,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET,,36126,BRANCO OFF 526/CREME 516,,-3.917,0.00000,nacional
Mini Fabrica - 9,138672,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET,,53180,NUDE 658/CREME 516,,-27.831,0.00000,nacional
Mini Fabrica - 9,143760,METALIZADO LONDON PU 0.9+BASE FLEX,,15787,PRETO 01/PRETO,,-0.086,0.00000,nacional
Mini Fabrica - 9,169103,NAPA CALF PU 0.9 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO MILANO,,104323,MOCCA 1398/BRANCO 15/CAMEL 408,,-0.012,0.00000,nacional
Mini Fabrica - 9,196639,NAPA VELUNA 0.9 (MD O/I 26) - IMPORTADO+ SARJA 7030/40,,15758,PRETO 01/PRETO 01,,-7.808,0.00000,nacional
Mini Fabrica - 9,196770,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25),,96942,MULTI CAMEL 1165,,-7.386,0.00000,nacional
Mini Fabrica - 10,58623,FORRO MILANO PU 0.7(B O/I 2014)+FILME TPU SC 50,,15745,PRETO 01,,-6.485,0.00000,nacional
Mini Fabrica - 10,80451,CAMURCAO PU 1.2 (M O/I 2016)+FILME SC 50,,93249,AREIA 1137,,-21.592,0.00000,nacional
Mini Fabrica - 10,81298,NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17),,93249,AREIA 1137,,-2.712,0.00000,nacional
Mini Fabrica - 10,112853,"FORRO SOFT CONFORTO PU 0.7(MD P/V 18/19)+ESPUMA PU 6,5MM D.60+SPONLACE 30GR",,29497,BEGE 435/BRANCO 15,,-18.332,0.00000,nacional
Mini Fabrica - 10,157751,FORRO MILANO PU 0.7(B O/I 2014)+FILME PA 102/18,,15745,PRETO 01,,-9.477,0.00000,nacional
Mini Fabrica - 10,166687,NAPA FLOATHER CLASSIC NEO 1.45(ACT P/V 22/23)+VELVET 0.50,,15758,PRETO 01/PRETO 01,,-1.969,0.00000,nacional
Mini Fabrica - 10,168353,FILME PVC AUSTRALIA 0.60MM(ACT P/V 21/22)+FILME FA7300 100 MICRAS,,106717,IRON 1452,,-0.362,0.00000,nacional
