Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 6;25567;AVESSO VELUR;;3;PRETO;;-24,888;24,888;0,0;0,0;24,888;0,0;nacional
Mini Fabrica - 6;25567;AVESSO VELUR;;35313;CREME 516;;-17,864;17,864;0,0;0,0;17,864;0,0;nacional
Mini Fabrica - 6;56577;FORRO MILANO PU 0.7(B O/I 2014);;72374;CAFE 856;;-10,0;10,0;134,0;10,0;0,0;100,0;nacional
Mini Fabrica - 6;56577;FORRO MILANO PU 0.7(B O/I 2014);;100196;AVELA 1248;;-10,784;10,784;32,0;10,784;0,0;100,0;nacional
Mini Fabrica - 6;58623;FORRO MILANO PU 0.7(B O/I 2014)+FILME TPU SC 50;;29452;BEGE 435;;-14,284;14,284;25,0;14,284;0,0;100,0;nacional
Mini Fabrica - 6;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;29452;BEGE 435;;-19,95;19,95;25,0;19,95;0,0;100,0;nacional
Mini Fabrica - 6;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;52531;NUDE 658;;-7,887;7,887;0,0;0,0;7,887;0,0;nacional
Mini Fabrica - 6;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;103102;CHERRY 1335;;-1,076;1,076;32,0;1,076;0,0;100,0;nacional
Mini Fabrica - 6;67345;NAPA TURIM PU 1.0 + SARJA 7030/40 0.40;;52568;NUDE 658/CRU 20;;-14,743;14,743;20,0;14,743;0,0;100,0;nacional
Mini Fabrica - 6;67345;NAPA TURIM PU 1.0 + SARJA 7030/40 0.40;;103963;CONHAQUE 1273/PRETO 01;;-2,342;2,342;43,4;2,342;0,0;100,0;nacional
Mini Fabrica - 6;73824;SARJA 220 GR 100% ALGODAO+ FILME 50 MICRAS;;15745;PRETO 01;;-0,085;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 6;73824;SARJA 220 GR 100% ALGODAO+ FILME 50 MICRAS;;17228;CRU 20;;-0,028;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 6;84629;VERNIZ PREMIUM PU 1.0 (M/MD O/I 2017)+ SARJA 7030/40 0.40;;29498;BEGE 435/CRU 20;;-0,038;1,0;13,4;1,0;0,0;100,0;nacional
Mini Fabrica - 6;94157;NAPA TURIM PU 1.0+VELVET;;53180;NUDE 658/CREME 516;;-7,835;7,835;46,5;7,835;0,0;100,0;nacional
