Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Qtd Mini Fabricas;Mini Fabricas Destino;Total Necessidade;Necessidade por Mini (deve|saldo|origem)
25567;AVESSO VELUR;;3;PRETO;;7,0;Mini Fabrica - 6 | Mini Fabrica - 9 | Mini Fabrica - 10 | Mini Fabrica - 19 | Mini Fabrica - 30 | Mini Fabrica - 38 | Mini Fabrica - 40;138,0341;Mini Fabrica - 6: deve=-24.88765 | saldo=32 | origem=substituto || Mini Fabrica - 9: deve=-58.18175 | saldo=32 | origem=substituto || Mini Fabrica - 10: deve=-22.8924 | saldo=32 | origem=substituto || Mini Fabrica - 19: deve=-3.7911 | saldo=32 | origem=substituto || Mini Fabrica - 30: deve=-13.87 | saldo=32 | origem=substituto || Mini Fabrica - 38: deve=-13.4112 | saldo=32 | origem=substituto || Mini Fabrica - 40: deve=-0.1716 | saldo=32 | origem=substituto
25567;AVESSO VELUR;;35313;CREME 516;;4,0;Mini Fabrica - 6 | Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 30;63,8734;Mini Fabrica - 6: deve=-17.86419 | saldo=94 | origem=substituto || Mini Fabrica - 9: deve=-12.11184 | saldo=94 | origem=substituto || Mini Fabrica - 19: deve=-3.698 | saldo=94 | origem=substituto || Mini Fabrica - 30: deve=-30.1994 | saldo=94 | origem=substituto
56577;FORRO MILANO PU 0.7(B O/I 2014);;72374;CAFE 856;;2,0;Mini Fabrica - 6 | Mini Fabrica - 50;11,0918;Mini Fabrica - 6: deve=-10.0 | saldo=134.00000 | origem=nacional || Mini Fabrica - 50: deve=-1.0918 | saldo=134.00000 | origem=nacional
58623;FORRO MILANO PU 0.7(B O/I 2014)+FIL;;29452;BEGE 435;;4,0;Mini Fabrica - 6 | Mini Fabrica - 19 | Mini Fabrica - 38 | Mini Fabrica - 68;41,8772;Mini Fabrica - 6: deve=-14.2836 | saldo=25.00000 | origem=nacional || Mini Fabrica - 19: deve=-0.6608 | saldo=25.00000 | origem=nacional || Mini Fabrica - 38: deve=-25.5936 | saldo=25.00000 | origem=nacional || Mini Fabrica - 68: deve=-0.12 | saldo=25.00000 | origem=nacional
67244;NAPA TURIM PU 1.0 (B P/V 15/16);;29452;BEGE 435;;4,0;Mini Fabrica - 6 | Mini Fabrica - 16 | Mini Fabrica - 19 | Mini Fabrica - 50;37,555;Mini Fabrica - 6: deve=-19.9496 | saldo=25.00000 | origem=nacional || Mini Fabrica - 16: deve=-5.4808 | saldo=25.00000 | origem=nacional || Mini Fabrica - 19: deve=-2.4812 | saldo=25.00000 | origem=nacional || Mini Fabrica - 50: deve=-9.6434 | saldo=25.00000 | origem=nacional
67244;NAPA TURIM PU 1.0 (B P/V 15/16);;52531;NUDE 658;;3,0;Mini Fabrica - 6 | Mini Fabrica - 9 | Mini Fabrica - 19;44,5613;Mini Fabrica - 6: deve=-7.8868 | saldo=120 | origem=substituto || Mini Fabrica - 9: deve=-19.19668 | saldo=120 | origem=substituto || Mini Fabrica - 19: deve=-17.4778 | saldo=120 | origem=substituto
84629;VERNIZ PREMIUM PU 1.0 (M/MD O/I 20;;29498;BEGE 435/CRU;;2,0;Mini Fabrica - 6 | Mini Fabrica - 9;2,0;Mini Fabrica - 6: deve=-0.0376 | saldo=13.40000 | origem=nacional || Mini Fabrica - 9: deve=-0.711 | saldo=13.40000 | origem=nacional
108850;NAPA PELE STRECH PU 1.0 (MD O/I 2;;15745;PRETO 01;;2,0;Mini Fabrica - 6 | Mini Fabrica - 38;24,3944;Mini Fabrica - 6: deve=-11.05036 | saldo=120 | origem=substituto || Mini Fabrica - 38: deve=-13.344 | saldo=120 | origem=substituto
149602;CAMURCA STRECH DUO + VELVET (;;15787;PRETO 01/PRET;;2,0;Mini Fabrica - 6 | Mini Fabrica - 38;43,8584;Mini Fabrica - 6: deve=-9.3936 | saldo=42.70000 | origem=nacional || Mini Fabrica - 38: deve=-34.4648 | saldo=42.70000 | origem=nacional
157666;TECIDO ADTERM CH 180 C CONFOR;;15745;PRETO 01;;2,0;Mini Fabrica - 6 | Mini Fabrica - 19;83,1328;Mini Fabrica - 6: deve=-21.8776 | saldo=60.00000 | origem=nacional || Mini Fabrica - 19: deve=-61.2552 | saldo=60.00000 | origem=nacional
187451;NYLON KANSAS(ACT O/I22)+ESPUMA;;106860;AVELA 1248/BR;;2,0;Mini Fabrica - 6 | Mini Fabrica - 26;11,0;Mini Fabrica - 6: deve=-9.368 | saldo=17.00000 | origem=nacional || Mini Fabrica - 26: deve=-1.632 | saldo=17.00000 | origem=nacional
202378;NAPA ESSELENCE PU 0.9+SARJA 70;;35738;BRANCO OFF;;2,0;Mini Fabrica - 6 | Mini Fabrica - 26;14,472;Mini Fabrica - 6: deve=-10.392 | saldo=20.00000 | origem=nacional || Mini Fabrica - 26: deve=-4.08 | saldo=20.00000 | origem=nacional
25567;AVESSO VELUR;;23041;CARAMELO 310;;3,0;Mini Fabrica - 9 | Mini Fabrica - 30 | Mini Fabrica - 38;31,3015;Mini Fabrica - 9: deve=-0.7559 | saldo=40 | origem=substituto || Mini Fabrica - 30: deve=-19.3067 | saldo=40 | origem=substituto || Mini Fabrica - 38: deve=-10.9948 | saldo=40 | origem=substituto
47527;FORRO FIORI (V P/V 12/13);;26926;CAMEL 408;;2,0;Mini Fabrica - 9 | Mini Fabrica - 50;38,216;Mini Fabrica - 9: deve=-9.0825 | saldo=50 | origem=substituto || Mini Fabrica - 50: deve=-29.1335 | saldo=50 | origem=substituto
56427;PELICA PU 1.0 (V O/I 2014);;15745;PRETO 01;;3,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 50;60,0019;Mini Fabrica - 9: deve=-6.2766 | saldo=53 | origem=substituto || Mini Fabrica - 19: deve=-26.8261 | saldo=53 | origem=substituto || Mini Fabrica - 50: deve=-26.89925 | saldo=53 | origem=substituto
56427;PELICA PU 1.0 (V O/I 2014);;29452;BEGE 435;;2,0;Mini Fabrica - 9 | Mini Fabrica - 50;3,1264;Mini Fabrica - 9: deve=-2.1264 | saldo=18 | origem=substituto || Mini Fabrica - 50: deve=-0.1042 | saldo=18 | origem=substituto
56577;FORRO MILANO PU 0.7(B O/I 2014);;29452;BEGE 435;;3,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 50;78,8103;Mini Fabrica - 9: deve=-25.7126 | saldo=300 | origem=substituto || Mini Fabrica - 19: deve=-4.368 | saldo=300 | origem=substituto || Mini Fabrica - 50: deve=-48.7297 | saldo=300 | origem=substituto
