Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 6;25567;AVESSO VELUR;;3;PRETO;;-24,88765;24,88765;32,0;24,88765;0,0;100,0;substituto
Mini Fabrica - 6;25567;AVESSO VELUR;;35313;CREME 516;;-17,86419;17,86419;94,0;17,86419;0,0;100,0;substituto
Mini Fabrica - 6;56577;FORRO MILANO PU 0.7(B O/I 2014);;72374;CAFE 856;;-10,0;10,0;134,0;10,0;0,0;100,0;nacional
Mini Fabrica - 6;56577;FORRO MILANO PU 0.7(B O/I 2014);;100196;AVELA 1248;;-10,784;10,784;32,0;10,784;0,0;100,0;nacional
Mini Fabrica - 6;58623;FORRO MILANO PU 0.7(B O/I 2014)+FIL;;29452;BEGE 435;;-14,2836;14,2836;25,0;14,2836;0,0;100,0;nacional
Mini Fabrica - 6;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;29452;BEGE 435;;-19,9496;19,9496;25,0;19,9496;0,0;100,0;nacional
Mini Fabrica - 6;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;52531;NUDE 658;;-7,8868;7,8868;120,0;7,8868;0,0;100,0;substituto
Mini Fabrica - 6;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;103102;CHERRY 1335;;-1,0764;1,0764;32,0;1,0764;0,0;100,0;nacional
Mini Fabrica - 6;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;52568;NUDE 658/CRU;;-14,74259;14,74259;20,0;14,74259;0,0;100,0;nacional
Mini Fabrica - 6;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;103963;CONHAQUE 1;;-2,3419;2,3419;43,4;2,3419;0,0;100,0;nacional
Mini Fabrica - 6;84629;VERNIZ PREMIUM PU 1.0 (M/MD O/I 20;;29498;BEGE 435/CRU;;-0,0376;1,0;13,4;1,0;0,0;100,0;nacional
Mini Fabrica - 6;94157;NAPA TURIM PU 1.0+VELVET;;53180;NUDE 658/CREM;;-7,83486;7,83486;58,2;7,83486;0,0;100,0;nacional
Mini Fabrica - 6;108850;NAPA PELE STRECH PU 1.0 (MD O/I 2;;15745;PRETO 01;;-11,05036;11,05036;120,0;11,05036;0,0;100,0;substituto
Mini Fabrica - 6;128938;NAPA FLOATHER NATURE PU 1.0 (M;;101540;OLIVA 1281;;-4,0;4,0;42,0;4,0;0,0;100,0;nacional
Mini Fabrica - 6;149602;CAMURCA STRECH DUO + VELVET (;;15787;PRETO 01/PRET;;-9,3936;9,3936;42,7;9,3936;0,0;100,0;nacional
Mini Fabrica - 6;157666;TECIDO ADTERM CH 180 C CONFOR;;15745;PRETO 01;;-21,8776;21,8776;60,0;21,8776;0,0;100,0;nacional
Mini Fabrica - 6;163149;NAPA SOFT MADRI PU 1.0 (V O/I 23/2;;15745;PRETO 01;;-4,0;4,0;14,9;4,0;0,0;100,0;nacional
Mini Fabrica - 6;163149;NAPA SOFT MADRI PU 1.0 (V O/I 23/2;;101321;CHOCOLATE;;-4,0;4,0;26,0;4,0;0,0;100,0;nacional
Mini Fabrica - 6;169777;TECIDO TELA LENA (MD P/V 23/24)+E;;16143;PRETO 01/PRET;;-537,536;537,536;107,5;107,5;430,03599999999994;19,998660554827957;nacional
Mini Fabrica - 6;174565;NAPA SUPREMA PU 0.9 (MD O/I 25)+V;;15758;PRETO 01/PRET;;-0,568;1,0;13,0;1,0;0,0;100,0;nacional
Mini Fabrica - 6;187451;NYLON KANSAS(ACT O/I22)+ESPUMA;;106860;AVELA 1248/BR;;-9,368;9,368;17,0;9,368;0,0;100,0;nacional
