Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Qtd Mini Fabricas,Mini Fabricas Destino,Total Necessidade,Necessidade por Mini (deve|saldo|origem)
56577,FORRO MILANO PU 0.7(B O/I 2014),,35312,BRANCO OFF 526,,2,Mini Fabrica - 6 | Mini Fabrica - 50,9.009,Mini Fabrica - 6: deve=-7.896 | saldo=0.00000 | origem=nacional || Mini Fabrica - 50: deve=-1.113 | saldo=0.00000 | origem=nacional
67345,NAPA TURIM PU 1.0 + SARJA 7030/40 0.40,,101602,CHOCOLATE 1271/PRETO 01,,3,Mini Fabrica - 6 | Mini Fabrica - 9 | Mini Fabrica - 40,36.291,Mini Fabrica - 6: deve=-0.724 | saldo=0.00000 | origem=nacional || Mini Fabrica - 9: deve=-35.307 | saldo=0.00000 | origem=nacional || Mini Fabrica - 40: deve=-0.26 | saldo=0.00000 | origem=nacional
73034,NAPA TURIM PU 1.0 (B P/V 15/16)+BASE FLEX 1.0,,101646,CHOCOLATE 1271/PRETO,,2,Mini Fabrica - 6 | Mini Fabrica - 40,1.43,Mini Fabrica - 6: deve=-0.602 | saldo=0.00000 | origem=nacional || Mini Fabrica - 40: deve=-0.828 | saldo=0.00000 | origem=nacional
128938,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21),,95373,CAMEL 1165,,2,Mini Fabrica - 6 | Mini Fabrica - 50,8.668,Mini Fabrica - 6: deve=-5.0 | saldo=0.00000 | origem=nacional || Mini Fabrica - 50: deve=-3.668 | saldo=0.00000 | origem=nacional
149602,CAMURCA STRECH DUO + VELVET (MD O/I /23),,15787,PRETO 01/PRETO,,2,Mini Fabrica - 6 | Mini Fabrica - 38,4.884,Mini Fabrica - 6: deve=-4.038 | saldo=0.00000 | origem=nacional || Mini Fabrica - 38: deve=-0.846 | saldo=0.00000 | origem=nacional
192842,BRILHO ITALIA PU 0.9 (P/V 25/26)+BASE FLEX,,34788,DOURADO/BISCOITO,,2,Mini Fabrica - 6 | Mini Fabrica - 24,19.048,Mini Fabrica - 6: deve=-1.628 | saldo=0.00000 | origem=nacional || Mini Fabrica - 24: deve=-17.42 | saldo=0.00000 | origem=nacional
48926,CAMURCA FLEX 0.30+BASE FLEX 1.0 (P/V 12/13),,96142,CAMEL 1165/BISCOITO,,2,Mini Fabrica - 9 | Mini Fabrica - 30,1.301,Mini Fabrica - 9: deve=-0.759 | saldo=0.00000 | origem=nacional || Mini Fabrica - 30: deve=-0.542 | saldo=0.00000 | origem=nacional
60121,CAMURCA FLEX 0.30+FLANELA 475/11 0.40,,95810,CAMEL 1165/CRU 20,,2,Mini Fabrica - 9 | Mini Fabrica - 30,0.477,Mini Fabrica - 9: deve=-0.293 | saldo=0.00000 | origem=nacional || Mini Fabrica - 30: deve=-0.184 | saldo=0.00000 | origem=nacional
112853,"FORRO SOFT CONFORTO PU 0.7(MD P/V 18/19)+ESPUMA PU 6,5MM D.60+SPONLACE 30GR",,29497,BEGE 435/BRANCO 15,,2,Mini Fabrica - 9 | Mini Fabrica - 10,59.81,Mini Fabrica - 9: deve=-41.478 | saldo=0.00000 | origem=nacional || Mini Fabrica - 10: deve=-18.332 | saldo=0.00000 | origem=nacional
143760,METALIZADO LONDON PU 0.9+BASE FLEX,,15787,PRETO 01/PRETO,,2,Mini Fabrica - 9 | Mini Fabrica - 26,0.758,Mini Fabrica - 9: deve=-0.086 | saldo=0.00000 | origem=nacional || Mini Fabrica - 26: deve=-0.672 | saldo=0.00000 | origem=nacional
