Mini Fabrica,Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Deve (Abast),Saldo em Casa,Origem do Saldo
Mini Fabrica - 10,25567,AVESSO VELUR,,3,PRETO,,-18.2848,77,substituto
Mini Fabrica - 10,70727,CAMURCAO PU 1.2 (M O/I 2016),,15745,PRETO 01,,-52.1393,30,substituto
Mini Fabrica - 10,108850,NAPA PELE STRECH PU 1.0 (MD O/I 2,,101321,CHOCOLATE,,-19.3344,72,substituto
Mini Fabrica - 10,112853,FORRO SOFT CONFORTO PU 0.7(MD,,29497,BEGE 435/BRAN,,-247.032,272.70000,nacional
Mini Fabrica - 10,120736,"ESPUMA PU 6,5MM D.60",,1,BRANCO,,-183.26828,405.00000,nacional
Mini Fabrica - 10,128939,NAPA FLOATHER NATURE PU 1.0 (M,,29498,BEGE 435/CRU,,-13.2671,24.00000,nacional
Mini Fabrica - 10,138672,NAPA FLOATHER NATURE PU 1.0 (M,,41492,BEGE 435/CREM,,-1.5,34.00000,nacional
Mini Fabrica - 10,138672,NAPA FLOATHER NATURE PU 1.0 (M,,73436,CAFE 856/PRET,,-7.61,17.00000,nacional
Mini Fabrica - 10,140345,NAPA BERLIM PU 1.2- IMPORTADO,,15745,PRETO 01,,-8.2078,20.00000,nacional
Mini Fabrica - 10,151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,59778,PRETO/BRANCO,,-73.37666,338.50000,nacional
Mini Fabrica - 10,151481,"CACHAREL RUN (MLK)+ESP PU 1,5 D",,94379,AREIA 1137/BRA,,-23.9117,50.00000,nacional
Mini Fabrica - 10,157751,FORRO MILANO PU 0.7(B O/I 2014)+F,,107610,OLIVE 1469,,-0.856,1.00000,nacional
Mini Fabrica - 10,164097,NAPA FLOATHER CLASSIC NEO 1.45,,35312,BRANCO OFF,,-4.3706,47.30000,nacional
Mini Fabrica - 10,164444,"TECIDO VELVET+ESPUMA PU 1,5MM",,15860,PRETO/PRETO,,-21.8704,45.00000,nacional
Mini Fabrica - 10,170196,NYLON FREE SPORT+DUPLAFRONT,,313,PRETO/PRETO,,-6.916,20.00000,nacional
